SEM,Noise,Nodes,Edges,DataSize,F1_Score
nonlinear,Gp-add,6,10,5,0.351
nonlinear,Gp-add,6,10,10,0.2
nonlinear,Gp-add,6,10,15,0.5
nonlinear,Gp-add,6,10,20,0.308
nonlinear,Gp-add,6,10,25,0.341
nonlinear,Gp-add,6,10,30,0.392
nonlinear,Gp-add,6,10,35,0.361
nonlinear,Gp-add,6,15,5,0.361
nonlinear,Gp-add,6,15,10,0.34
nonlinear,Gp-add,6,15,15,0.304
nonlinear,Gp-add,6,15,20,0.288
nonlinear,Gp-add,6,15,25,0.326
nonlinear,Gp-add,6,15,30,0.311
nonlinear,Gp-add,6,15,35,0.32
nonlinear,Gp-add,6,20,5,0.32
nonlinear,Gp-add,6,20,10,0.278
nonlinear,Gp-add,6,20,15,0.335
nonlinear,Gp-add,6,20,20,0.283
nonlinear,Gp-add,6,20,25,0.345
nonlinear,Gp-add,6,20,30,0.297
nonlinear,Gp-add,6,20,35,0.351
nonlinear,Gp-add,9,10,5,0.287
nonlinear,Gp-add,9,10,10,0.325
nonlinear,Gp-add,9,10,15,0.313
nonlinear,Gp-add,9,10,20,0.296
nonlinear,Gp-add,9,10,25,0.305
nonlinear,Gp-add,9,10,30,0.302
nonlinear,Gp-add,9,10,35,0.3
nonlinear,Gp-add,9,15,5,0.3
nonlinear,Gp-add,9,15,10,0.291
nonlinear,Gp-add,9,15,15,0.286
nonlinear,Gp-add,9,15,20,0.288
nonlinear,Gp-add,9,15,25,0.291
nonlinear,Gp-add,9,15,30,0.296
nonlinear,Gp-add,9,15,35,0.294
nonlinear,Gp-add,9,20,5,0.294
nonlinear,Gp-add,9,20,10,0.289
nonlinear,Gp-add,9,20,15,0.288
nonlinear,Gp-add,9,20,20,0.287
nonlinear,Gp-add,9,20,25,0.288
nonlinear,Gp-add,9,20,30,0.287
nonlinear,Gp-add,9,20,35,0.287
nonlinear,Gp-add,12,10,5,0.2
nonlinear,Gp-add,12,10,10,0.28
nonlinear,Gp-add,12,10,15,0.28
nonlinear,Gp-add,12,10,20,0.282
nonlinear,Gp-add,12,10,25,0.282
nonlinear,Gp-add,12,10,30,0.288
nonlinear,Gp-add,12,10,35,0.286
nonlinear,Gp-add,12,15,5,0.286
nonlinear,Gp-add,12,15,10,0.287
nonlinear,Gp-add,12,15,15,0.287
nonlinear,Gp-add,12,15,20,0.284
nonlinear,Gp-add,12,15,25,0.283
nonlinear,Gp-add,12,15,30,0.287
nonlinear,Gp-add,12,15,35,0.291
nonlinear,Gp-add,12,20,5,0.291
nonlinear,Gp-add,12,20,10,0.291
nonlinear,Gp-add,12,20,15,0.29
nonlinear,Gp-add,12,20,20,0.288
nonlinear,Gp-add,12,20,25,0.289
nonlinear,Gp-add,12,20,30,0.291
nonlinear,Gp-add,12,20,35,0.2
